sequence,length,count,up_count,down_count,up_probability
"6,10,6",3,729,320,409,0.438957
"25,24,10",3,626,262,364,0.41853
"25,25,6",3,614,272,342,0.442997
"3,10,10",3,605,336,269,0.555372
"24,24,11",3,590,247,343,0.418644
"24,24,10",3,590,258,332,0.437288
"25,6,10",3,544,230,314,0.422794
"6,6,25",3,526,220,306,0.418251
"11,11,25",3,434,180,254,0.414747
"24,24,5",3,401,178,223,0.44389
"10,10,15",3,398,175,223,0.439698
"3,3,3",3,334,250,84,0.748503
"25,24,11",3,328,144,184,0.439024
"24,6,10",3,314,133,181,0.423567
"25,10,24",3,314,118,196,0.375796
"25,6,24",3,306,128,178,0.418301
"24,5,11",3,301,122,179,0.405316
"12,24,24",3,297,123,174,0.414141
"11,11,4",3,291,125,166,0.429553
"11,12,11",3,291,127,164,0.436426
"6,24,24",3,282,117,165,0.414894
"6,25,10",3,281,123,158,0.437722
"24,11,5",3,278,116,162,0.417266
"6,25,25",3,269,118,151,0.438662
"10,10,2",3,261,106,155,0.40613
"24,25,6",3,255,108,147,0.423529
"24,25,11",3,252,144,108,0.571429
"5,5,25",3,250,111,139,0.444
"24,6,6",3,248,107,141,0.431452
"3,25,25",3,246,103,143,0.418699
"15,10,10",3,245,137,108,0.559184
"25,10,6",3,245,99,146,0.404082
"25,3,25",3,243,99,144,0.407407
"25,24,12",3,236,82,154,0.347458
"11,5,8",3,231,138,93,0.597403
"25,24,6",3,231,103,128,0.445887
"3,25,10",3,230,100,130,0.434783
"11,25,25",3,228,100,128,0.438596
"25,12,24",3,227,81,146,0.356828
"10,6,25",3,225,100,125,0.444444
"10,24,6",3,224,89,135,0.397321
"11,25,24",3,224,88,136,0.392857
"24,4,25",3,222,96,126,0.432432
"3,24,25",3,219,123,96,0.561644
"17,24,24",3,219,75,144,0.342466
"6,10,24",3,215,81,134,0.376744
"5,25,11",3,210,124,86,0.590476
"3,25,24",3,206,86,120,0.417476
"15,10,15",3,205,86,119,0.419512
"3,24,3",3,199,116,83,0.582915
"3,6,25",3,197,115,82,0.583756
"24,23,24",3,197,78,119,0.395939
"3,6,10",3,196,110,86,0.561224
"4,24,24",3,196,79,117,0.403061
"11,17,11",3,192,107,85,0.557292
"10,6,24",3,191,74,117,0.387435
"24,6,25",3,191,78,113,0.408377
"24,6,24",3,190,120,70,0.631579
"13,13,13",3,190,84,106,0.442105
"6,10,3",3,189,106,83,0.560847
"23,24,11",3,182,77,105,0.423077
"11,24,23",3,182,80,102,0.43956
"24,17,24",3,180,60,119,0.333333
"10,6,3",3,179,124,55,0.692737
"23,23,24",3,178,99,79,0.55618
"8,11,11",3,176,77,99,0.4375
"3,3,10",3,176,115,61,0.653409
"24,10,6",3,176,73,103,0.414773
"11,5,24",3,176,78,98,0.443182
"3,10,3",3,175,110,65,0.628571
"25,24,4",3,175,104,71,0.594286
"10,2,25",3,174,75,99,0.431034
"5,25,24",3,173,74,99,0.427746
"25,4,25",3,173,75,98,0.433526
"15,3,15",3,172,76,96,0.44186
"13,24,24",3,171,73,98,0.426901
"24,5,24",3,169,93,76,0.550296
"6,25,24",3,166,56,110,0.337349
"25,25,3",3,164,69,95,0.420732
"11,23,24",3,161,62,99,0.385093
"5,4,25",3,159,65,94,0.408805
"12,24,25",3,157,61,96,0.388535
"5,23,5",3,156,59,97,0.378205
"6,3,10",3,156,65,91,0.416667
"11,23,5",3,156,61,95,0.391026
"11,5,25",3,156,69,87,0.442308
"4,25,20",3,155,68,87,0.43871
"23,11,24",3,152,58,94,0.381579
"25,25,11",3,151,90,61,0.596026
"10,10,5",3,150,60,90,0.4
"12,11,12",3,149,54,95,0.362416
"25,15,25",3,147,83,64,0.564626
"6,3,3",3,147,99,48,0.673469
"10,10,13",3,145,59,86,0.406897
"15,5,5",3,141,58,83,0.411348
"17,11,24",3,141,81,57,0.574468
"25,24,17",3,137,48,89,0.350365
"13,13,24",3,137,50,87,0.364964
"10,11,11",3,134,34,100,0.253731
"5,20,24",3,134,57,77,0.425373
"3,15,10",3,130,78,52,0.6
"11,24,17",3,130,47,82,0.361538
"5,11,25",3,130,39,91,0.3
"24,12,11",3,130,57,73,0.438462
"11,8,11",3,130,74,56,0.569231
"10,16,10",3,129,80,49,0.620155
"6,3,24",3,129,71,58,0.550388
"12,24,5",3,128,50,78,0.390625
"10,10,11",3,125,78,47,0.624
"17,24,11",3,123,52,70,0.422764
"24,10,15",3,122,51,71,0.418033
"3,3,24",3,122,70,52,0.57377
"25,3,10",3,121,72,49,0.595041
"17,17,24",3,119,51,68,0.428571
"3,25,3",3,119,51,68,0.428571
"10,10,16",3,119,53,66,0.445378
"24,12,25",3,118,45,73,0.381356
"24,15,25",3,118,67,51,0.567797
"3,15,24",3,117,71,46,0.606838
"24,25,17",3,117,43,74,0.367521
"23,23,23",3,115,48,67,0.417391
"15,5,11",3,113,39,74,0.345133
"25,3,24",3,113,49,64,0.433628
"24,24,17",3,113,45,68,0.39823
"15,25,25",3,113,67,46,0.59292
"10,15,24",3,112,42,70,0.375
"8,5,5",3,112,50,62,0.446429
"25,24,5",3,111,36,75,0.324324
"6,3,25",3,111,76,35,0.684685
"3,15,25",3,111,72,39,0.648649
"5,5,17",3,110,43,67,0.390909
"11,11,7",3,108,73,35,0.675926
"12,11,11",3,108,48,60,0.444444
"25,6,3",3,107,48,59,0.448598
"25,10,16",3,106,10,96,0.09434
"11,12,24",3,106,41,65,0.386792
"5,24,23",3,105,46,59,0.438095
"3,10,24",3,105,37,68,0.352381
"4,25,12",3,105,46,59,0.438095
"11,13,24",3,105,41,64,0.390476
"3,3,16",3,104,65,39,0.625
"17,17,7",3,103,34,69,0.330097
"17,24,12",3,103,42,61,0.407767
"25,11,25",3,102,45,57,0.441176
"25,25,17",3,101,31,70,0.306931
"24,23,11",3,100,40,60,0.4
"11,11,1",3,99,55,44,0.555556
"4,25,11",3,99,38,61,0.383838
"3,15,15",3,99,63,36,0.636364
"12,11,24",3,98,37,61,0.377551
"11,17,17",3,96,43,53,0.447917
"24,5,8",3,95,39,56,0.410526
"10,10,14",3,95,60,35,0.631579
"24,25,3",3,94,65,29,0.691489
"10,25,5",3,94,54,40,0.574468
"12,25,24",3,94,31,63,0.329787
"25,15,3",3,93,68,25,0.731183
"24,3,6",3,93,57,36,0.612903
"25,12,25",3,93,34,59,0.365591
"25,3,6",3,92,54,38,0.586957
"5,4,24",3,92,40,52,0.434783
"24,5,4",3,92,34,58,0.369565
"5,11,17",3,91,35,56,0.384615
"14,14,14",3,91,66,25,0.725275
"24,15,10",3,91,52,39,0.571429
"25,12,11",3,91,40,51,0.43956
"25,17,17",3,91,32,59,0.351648
"25,15,10",3,90,50,40,0.555556
"10,13,13",3,90,23,67,0.255556
"15,3,25",3,89,38,51,0.426966
"15,15,10",3,88,53,35,0.602273
"24,25,12",3,88,37,51,0.420455
"24,11,13",3,86,27,59,0.313953
"15,25,24",3,86,55,31,0.639535
"5,8,8",3,85,48,37,0.564706
"11,17,24",3,85,31,54,0.364706
"24,23,5",3,84,37,47,0.440476
"16,25,25",3,84,60,24,0.714286
"25,17,12",3,84,31,53,0.369048
"5,23,23",3,84,29,55,0.345238
"2,10,10",3,83,47,36,0.566265
"24,13,24",3,83,31,52,0.373494
"8,11,8",3,83,46,37,0.554217
"10,3,15",3,82,48,34,0.585366
"10,25,13",3,82,35,47,0.426829
"25,3,3",3,82,48,34,0.585366
"25,15,15",3,82,31,51,0.378049
"24,25,5",3,81,45,36,0.555556
"10,2,10",3,80,32,48,0.4
"24,3,15",3,80,48,32,0.6
"24,25,23",3,80,33,47,0.4125
"24,17,17",3,79,29,50,0.367089
"6,24,15",3,79,48,31,0.607595
"24,4,11",3,79,27,52,0.341772
"25,10,15",3,79,49,30,0.620253
"5,8,25",3,78,34,44,0.435897
"5,4,5",3,78,33,45,0.423077
"4,20,24",3,77,28,49,0.363636
"23,5,24",3,77,45,32,0.584416
"24,15,24",3,75,47,28,0.626667
"24,3,10",3,74,41,33,0.554054
"25,5,24",3,73,43,30,0.589041
"24,8,5",3,73,31,42,0.424658
"11,7,11",3,73,41,32,0.561644
"10,2,2",3,72,42,30,0.583333
"6,10,11",3,72,18,54,0.25
"5,24,4",3,72,32,40,0.444444
"15,24,15",3,72,44,28,0.611111
"25,20,6",3,71,5,66,0.070423
"12,25,25",3,71,28,43,0.394366
"6,25,3",3,71,30,41,0.422535
"17,7,24",3,71,31,40,0.43662
"12,12,24",3,70,29,41,0.414286
"6,5,11",3,70,40,30,0.571429
"10,10,18",3,69,22,47,0.318841
"11,11,2",3,69,24,45,0.347826
"25,11,5",3,69,44,25,0.637681
"24,14,14",3,69,49,20,0.710145
"14,25,25",3,69,20,49,0.289855
"23,5,11",3,68,27,41,0.397059
"23,23,5",3,68,38,30,0.558824
"8,8,5",3,67,38,29,0.567164
"5,11,8",3,67,37,30,0.552239
"25,12,6",3,66,24,42,0.363636
"16,15,25",3,66,45,21,0.681818
"10,21,25",3,65,27,38,0.415385
"24,15,3",3,64,28,36,0.4375
"11,13,11",3,64,36,28,0.5625
"11,6,6",3,64,28,36,0.4375
"3,16,25",3,63,39,24,0.619048
"24,2,25",3,63,37,26,0.587302
"17,24,25",3,63,28,35,0.444444
"5,25,12",3,63,38,25,0.603175
"3,16,10",3,62,21,41,0.33871
"5,17,11",3,62,23,39,0.370968
"11,4,4",3,62,27,35,0.435484
"15,10,3",3,62,26,36,0.419355
"24,16,25",3,62,44,18,0.709677
"17,24,17",3,61,17,44,0.278689
"6,10,5",3,61,36,25,0.590164
"4,11,20",3,60,42,18,0.7
"25,25,13",3,60,25,35,0.416667
"25,21,6",3,60,34,26,0.566667
"24,25,20",3,60,39,21,0.65
"25,23,23",3,60,24,36,0.4
"15,15,25",3,60,26,34,0.433333
"10,1,10",3,59,17,42,0.288136
"25,15,24",3,59,44,15,0.745763
"10,25,15",3,59,42,17,0.711864
"6,13,24",3,59,25,34,0.423729
"12,24,4",3,59,23,36,0.389831
"17,12,11",3,58,22,36,0.37931
"11,2,5",3,58,32,26,0.551724
"11,4,24",3,58,25,33,0.431034
"14,14,25",3,58,37,21,0.637931
"15,6,6",3,58,32,26,0.551724
"23,24,25",3,58,35,23,0.603448
"24,8,11",3,57,33,24,0.578947
"16,15,10",3,57,34,22,0.596491
"25,24,15",3,57,42,15,0.736842
"25,12,4",3,57,21,36,0.368421
"11,5,23",3,57,18,39,0.315789
"24,24,16",3,57,32,25,0.561404
"15,10,6",3,56,38,18,0.678571
"3,15,16",3,56,24,32,0.428571
"11,1,11",3,56,14,42,0.25
"10,13,10",3,56,17,39,0.303571
"15,24,10",3,56,47,9,0.839286
"6,10,21",3,56,24,32,0.428571
"12,4,12",3,56,24,32,0.428571
"10,21,10",3,56,31,25,0.553571
"4,24,5",3,56,35,21,0.625
"24,14,25",3,56,22,34,0.392857
"25,4,20",3,56,40,16,0.714286
"3,13,24",3,56,44,12,0.785714
"16,15,16",3,55,15,40,0.272727
"10,24,16",3,55,23,32,0.418182
"6,6,5",3,55,33,22,0.6
"25,25,14",3,55,21,34,0.381818
"23,5,23",3,54,22,32,0.407407
"6,10,16",3,54,35,19,0.648148
"25,11,23",3,54,14,40,0.259259
"17,7,17",3,54,16,38,0.296296
"13,13,6",3,54,30,24,0.555556
"24,4,5",3,54,37,17,0.685185
"25,23,11",3,54,21,33,0.388889
"6,3,15",3,54,35,19,0.648148
"21,6,10",3,53,34,19,0.641509
"25,11,4",3,53,32,21,0.603774
"21,25,6",3,53,21,32,0.396226
"25,25,4",3,53,23,30,0.433962
"5,8,24",3,52,22,30,0.423077
"15,24,24",3,52,34,18,0.653846
