sequence,length,count,up_count,down_count,up_probability
"14,11",2,46,26,20,0.565217
"22,6",2,46,17,29,0.369565
"7,23",2,45,10,35,0.222222
"7,5",2,45,25,20,0.555556
"12,23",2,45,30,15,0.666667
"6,1",2,45,17,23,0.377778
"5,2",2,44,17,27,0.386364
"18,6",2,42,15,26,0.357143
"24,19",2,42,29,13,0.690476
"1,5",2,39,26,13,0.666667
"4,13",2,38,17,21,0.447368
"12,1",2,38,10,28,0.263158
"3,19",2,36,13,23,0.361111
"2,3",2,35,23,12,0.657143
"2,17",2,35,14,21,0.4
"11,20",2,34,19,15,0.558824
"18,11",2,34,12,22,0.352941
"4,14",2,33,23,10,0.69697
"10,17",2,32,7,25,0.21875
"23,17",2,31,7,24,0.225806
"14,20",2,31,22,9,0.709677
"13,17",2,31,12,19,0.387097
"10,23",2,31,20,11,0.645161
"13,15",2,31,23,8,0.741935
"11,3",2,30,19,11,0.633333
"24,20",2,29,8,21,0.275862
"3,1",2,28,19,9,0.678571
"2,14",2,28,16,12,0.571429
"15,23",2,27,3,24,0.111111
"20,4",2,26,15,11,0.576923
"18,18",2,25,19,6,0.76
"21,3",2,24,17,7,0.708333
"15,18",2,24,16,8,0.666667
"16,11",2,23,14,9,0.608696
"13,7",2,23,8,15,0.347826
"9,21",2,23,7,16,0.304348
"3,9",2,22,16,6,0.727273
"16,22",2,21,18,3,0.857143
"21,22",2,21,14,7,0.666667
"1,25",2,21,7,14,0.333333
"5,1",2,21,12,9,0.571429
"1,3",2,20,16,4,0.8
"13,16",2,20,13,7,0.65
"6,6,6",3,5138,2238,2900,0.435578
"10,10,25",3,4068,1588,2480,0.390364
"10,25,10",3,3333,1375,1958,0.412541
"11,24,11",3,3294,1466,1828,0.445052
"6,6,10",3,2443,1013,1430,0.414654
"10,25,6",3,2333,919,1414,0.393913
"25,6,6",3,2148,894,1254,0.416201
"24,10,10",3,2067,814,1253,0.393807
"10,6,6",3,1970,871,1099,0.442132
"25,10,25",3,1862,644,1218,0.345865
"10,25,25",3,1699,699,997,0.411418
"24,24,24",3,1691,738,953,0.436428
"10,25,24",3,1671,682,989,0.408139
"25,24,24",3,1611,662,945,0.410925
"10,24,10",3,1514,660,854,0.435931
"10,6,10",3,1452,617,835,0.424931
"24,10,25",3,1403,519,884,0.369922
"24,11,24",3,1402,532,870,0.379458
"6,10,6",3,1393,588,805,0.422111
"24,11,11",3,1301,578,723,0.444274
"24,25,24",3,1282,509,773,0.397036
"25,24,25",3,1213,486,727,0.40066
"6,10,25",3,1194,470,720,0.393635
"6,25,6",3,1153,428,725,0.371206
"11,24,25",3,1137,448,689,0.394019
"25,25,24",3,1135,436,694,0.384141
"11,24,24",3,1096,434,662,0.395985
"6,6,24",3,1077,471,606,0.437326
"25,24,10",3,992,434,558,0.4375
"6,6,25",3,924,324,600,0.350649
"25,25,10",3,900,393,507,0.436667
"25,11,24",3,885,369,516,0.416949
"24,24,11",3,870,390,480,0.448276
"24,24,10",3,847,335,512,0.395514
"25,6,10",3,792,324,468,0.409091
"25,6,25",3,660,253,407,0.383333
"6,24,10",3,655,291,364,0.444275
"6,25,10",3,649,227,422,0.349769
"11,11,25",3,628,246,382,0.39172
"11,25,11",3,609,270,339,0.44335
"3,24,25",3,598,331,267,0.553512
"24,25,10",3,580,228,352,0.393103
"25,11,11",3,563,246,317,0.436945
"11,11,4",3,553,234,319,0.423146
"25,10,24",3,521,226,295,0.433781
"25,6,24",3,517,216,301,0.417795
"25,24,11",3,510,203,307,0.398039
"11,12,11",3,504,211,293,0.418651
"6,24,24",3,470,180,290,0.382979
"24,3,10",3,450,123,327,0.273333
"5,5,24",3,433,182,251,0.420323
"3,24,24",3,429,242,187,0.564103
"6,24,25",3,413,173,240,0.418886
"11,4,25",3,410,169,241,0.412195
"24,6,6",3,401,180,221,0.448878
"24,25,6",3,393,160,233,0.407125
"5,5,25",3,389,156,233,0.401028
"10,3,3",3,379,224,155,0.591029
"6,10,24",3,375,148,227,0.394667
"3,6,6",3,374,210,164,0.561497
"24,25,11",3,367,147,220,0.400545
"3,25,24",3,364,213,151,0.585165
"24,24,3",3,362,159,203,0.439227
"3,6,10",3,362,149,213,0.411602
"10,6,25",3,357,137,220,0.383754
"5,8,5",3,354,197,157,0.556497
"6,25,25",3,353,147,206,0.416431
"25,24,6",3,347,133,209,0.383285
"11,25,24",3,336,143,193,0.425595
"4,25,24",3,318,117,201,0.367925
"4,11,11",3,311,104,207,0.334405
"3,6,3",3,311,180,131,0.578778
"24,3,3",3,306,174,132,0.568627
"10,10,16",3,302,174,128,0.576159
"5,25,24",3,298,130,168,0.436242
"25,3,24",3,295,172,123,0.583051
"3,3,24",3,293,168,125,0.573379
"24,15,25",3,287,180,107,0.627178
"4,25,20",3,282,98,184,0.347518
"23,23,24",3,276,116,160,0.42029
"5,23,5",3,276,116,160,0.42029
"25,6,3",3,274,154,120,0.562044
"25,10,3",3,266,151,115,0.567669
"25,12,24",3,266,105,161,0.394737
"6,24,6",3,260,115,145,0.442308
"5,24,11",3,259,107,152,0.413127
"3,25,10",3,258,116,142,0.449612
"5,11,23",3,253,110,143,0.434783
"2,25,25",3,249,89,160,0.35743
"24,24,12",3,244,104,140,0.42623
"24,5,24",3,243,136,107,0.559671
"11,17,11",3,242,72,170,0.297521
"10,25,3",3,242,99,143,0.409091
"10,2,25",3,242,83,159,0.342975
"25,3,25",3,241,94,147,0.390041
"15,25,25",3,240,149,91,0.620833
"11,23,5",3,240,105,135,0.4375
"17,24,24",3,239,60,179,0.251046
"4,25,25",3,238,88,150,0.369748
"13,13,13",3,236,92,144,0.389831
"12,11,12",3,236,99,137,0.419492
"11,4,11",3,233,87,146,0.373391
"25,25,15",3,230,154,76,0.669565
"24,24,4",3,229,85,144,0.371179
"3,24,15",3,226,144,82,0.637168
"24,25,3",3,225,97,128,0.431111
"3,3,15",3,224,152,72,0.678571
"25,3,10",3,221,92,129,0.41629
"10,3,25",3,221,130,91,0.588235
"10,6,24",3,219,81,138,0.369863
"24,23,24",3,218,82,136,0.376147
"11,5,8",3,216,120,96,0.555556
"3,10,3",3,215,130,85,0.604651
"3,15,24",3,214,130,84,0.607477
"11,11,17",3,213,85,128,0.399061
"10,5,11",3,212,121,91,0.570755
"24,25,15",3,212,119,93,0.561321
"24,24,15",3,208,140,68,0.673077
"23,24,23",3,205,76,129,0.370732
"5,24,24",3,201,112,89,0.557214
"24,17,24",3,195,57,138,0.292308
"24,3,6",3,195,86,109,0.441026
"17,24,11",3,194,79,115,0.407216
"25,11,25",3,192,75,117,0.390625
"25,15,10",3,191,111,80,0.581152
"5,11,12",3,190,68,122,0.357895
