sequence,length,count,up_count,down_count,up_probability
"25,16,10",3,1144,509,634,0.44493
"16,16,18",3,1142,761,378,0.666375
"6,24,15",3,1140,634,505,0.55614
"24,10,2",3,1133,477,656,0.421006
"13,13,6",3,1132,623,504,0.550353
"5,20,12",3,1131,203,928,0.179487
"17,24,7",3,1126,437,689,0.388099
"11,2,25",3,1124,490,633,0.435943
"2,11,24",3,1119,474,644,0.423592
"10,25,1",3,1112,623,489,0.560252
"24,25,16",3,1109,696,408,0.627592
"25,25,13",3,1102,474,626,0.430127
"24,16,16",3,1101,723,369,0.656676
"14,10,10",3,1094,626,467,0.572212
"7,17,17",3,1093,382,710,0.349497
"24,16,15",3,1086,684,402,0.629834
"24,3,16",3,1083,656,427,0.605725
"16,18,10",3,1079,635,444,0.588508
"25,25,16",3,1072,598,462,0.557836
"11,4,24",3,1071,467,604,0.436041
"11,25,12",3,1071,452,619,0.422035
"12,12,24",3,1067,438,628,0.410497
"25,11,23",3,1060,472,588,0.445283
"12,4,12",3,1060,434,626,0.409434
"5,4,5",3,1060,461,598,0.434906
"12,24,4",3,1059,430,629,0.406043
"4,5,25",3,1053,390,659,0.37037
"12,25,11",3,1047,439,607,0.419293
"16,16,15",3,1046,647,399,0.618547
"5,17,20",3,1041,386,655,0.370797
"17,12,11",3,1040,360,680,0.346154
"6,16,25",3,1039,466,572,0.448508
"25,11,4",3,1039,436,603,0.419634
"16,16,25",3,1034,575,449,0.556093
"7,17,24",3,1032,343,689,0.332364
"24,12,4",3,1031,439,592,0.4258
"3,16,3",3,1027,584,443,0.568647
"25,12,6",3,1026,434,592,0.423002
"23,5,23",3,1024,430,593,0.419922
"2,25,24",3,1020,426,592,0.417647
"8,5,20",3,1013,432,581,0.426456
"11,2,5",3,1012,413,599,0.408103
"24,4,5",3,1007,342,664,0.339623
"11,11,10",3,1004,606,396,0.603586
"25,7,24",3,1001,403,598,0.402597
"16,25,15",3,999,587,409,0.587588
"2,15,10",3,997,444,552,0.445336
"11,6,10",3,996,549,447,0.551205
"4,5,24",3,991,419,572,0.422805
"4,25,4",3,970,388,582,0.4
"5,11,7",3,969,436,533,0.449948
"17,12,17",3,968,351,616,0.362603
"8,25,11",3,965,394,571,0.40829
"10,13,6",3,963,382,581,0.396677
"24,17,25",3,962,405,557,0.420998
"24,5,17",3,958,410,547,0.427975
"3,2,2",3,956,555,394,0.580544
"4,17,17",3,955,420,535,0.439791
"4,12,24",3,953,404,549,0.423924
"24,4,17",3,941,410,531,0.435707
"24,4,4",3,939,354,585,0.376997
"7,17,7",3,934,278,656,0.297645
"12,4,25",3,932,392,540,0.420601
"16,6,10",3,928,393,535,0.423491
"17,12,25",3,925,301,624,0.325405
"16,25,16",3,921,538,374,0.584148
"2,15,25",3,917,554,363,0.604144
"23,7,11",3,915,264,651,0.288525
"12,17,12",3,910,322,588,0.353846
"3,16,18",3,909,510,399,0.561056
"25,12,17",3,909,351,558,0.386139
"25,6,21",3,908,398,509,0.438326
"11,4,17",3,902,374,528,0.414634
"25,17,25",3,893,393,499,0.44009
"22,25,25",3,890,524,366,0.588764
"8,5,4",3,889,367,522,0.412823
"15,25,5",3,888,395,491,0.44482
"12,11,25",3,888,348,540,0.391892
"24,8,11",3,886,396,490,0.446953
"4,4,25",3,885,359,526,0.40565
"8,24,5",3,884,366,518,0.414027
"3,6,16",3,883,487,396,0.551529
"5,4,17",3,880,275,604,0.3125
"1,5,5",3,877,483,394,0.550741
"8,25,5",3,875,342,533,0.390857
"10,13,10",3,875,386,489,0.441143
"8,4,5",3,873,357,516,0.408935
"11,4,20",3,873,358,515,0.41008
"20,24,24",3,870,180,690,0.206897
"3,3,14",3,865,495,370,0.572254
"25,15,6",3,864,481,383,0.556713
"25,12,4",3,859,368,491,0.428405
"4,24,11",3,855,353,501,0.412865
"11,17,25",3,850,346,504,0.407059
"9,10,25",3,848,347,499,0.409198
"3,15,5",3,847,496,351,0.585596
"3,25,16",3,845,477,364,0.564497
"17,7,12",3,839,286,552,0.340882
"25,10,21",3,831,346,483,0.416366
"11,8,8",3,828,324,504,0.391304
"5,17,7",3,819,311,508,0.379731
"1,1,24",3,818,455,362,0.556235
"25,17,20",3,816,333,482,0.408088
"4,5,4",3,814,342,472,0.420147
"24,25,7",3,812,334,476,0.41133
"11,11,20",3,805,291,514,0.361491
"4,4,20",3,803,308,495,0.383562
"9,25,25",3,802,344,455,0.428928
"11,12,17",3,791,335,456,0.423515
"24,15,15",3,791,462,329,0.584071
"23,24,25",3,789,334,454,0.423321
"12,24,10",3,789,330,459,0.418251
"24,11,8",3,775,255,500,0.329032
"24,24,2",3,774,426,348,0.550388
"25,25,21",3,771,334,437,0.433204
"2,2,15",3,755,339,411,0.449007
"16,18,16",3,752,475,270,0.631649
"25,25,7",3,749,297,452,0.396529
"25,16,15",3,746,468,278,0.627346
"21,25,10",3,746,314,432,0.420912
"11,2,2",3,742,317,425,0.427224
"13,12,24",3,741,332,409,0.448043
"12,24,17",3,740,312,428,0.421622
"16,24,25",3,738,417,313,0.565041
"14,5,11",3,737,439,298,0.595658
"6,2,2",3,732,278,326,0.379781
"4,11,12",3,729,300,429,0.411523
"5,11,1",3,728,308,420,0.423077
"6,5,5",3,723,323,400,0.44675
"7,17,11",3,715,292,423,0.408392
"15,15,15",3,714,406,308,0.568627
"10,2,24",3,713,319,394,0.447405
"21,6,25",3,708,304,403,0.429379
"24,7,24",3,704,263,441,0.37358
"10,2,15",3,703,287,416,0.40825
"13,11,11",3,703,293,410,0.416785
"25,7,17",3,700,216,484,0.308571
"21,25,25",3,698,311,386,0.445559
"24,25,20",3,695,268,425,0.385612
"24,7,11",3,693,274,419,0.395382
"25,9,25",3,687,296,390,0.430859
"17,7,5",3,686,215,471,0.313411
"17,12,6",3,685,259,426,0.378102
"11,5,20",3,684,298,386,0.435673
"10,11,24",3,682,303,379,0.444282
"25,12,12",3,679,301,378,0.443299
"6,16,18",3,676,300,375,0.443787
"12,4,24",3,674,294,380,0.436202
"25,24,7",3,672,279,393,0.415179
"24,7,17",3,671,280,391,0.417288
"17,24,4",3,671,277,394,0.412817
"5,7,11",3,667,251,416,0.376312
"10,10,9",3,667,277,389,0.415292
"7,11,5",3,664,278,386,0.418675
"7,24,17",3,661,230,429,0.347958
"12,25,17",3,661,256,405,0.387292
"6,6,11",3,660,262,398,0.39697
"6,15,3",3,655,239,416,0.364885
"8,11,25",3,654,275,379,0.420489
"10,3,2",3,654,384,270,0.587156
"25,25,23",3,653,278,375,0.425727
"25,23,11",3,652,269,383,0.412577
"25,4,17",3,651,286,365,0.439324
"23,5,8",3,651,361,287,0.554531
"25,4,11",3,650,289,361,0.444615
"14,2,2",3,646,238,337,0.368421
"24,25,1",3,644,372,272,0.57764
"11,13,17",3,639,182,457,0.28482
"5,25,23",3,638,274,364,0.429467
"24,12,5",3,637,278,359,0.436421
"6,10,14",3,632,222,410,0.351266
"7,25,24",3,631,230,401,0.364501
"3,3,18",3,630,391,239,0.620635
"4,11,4",3,629,245,384,0.389507
"4,17,20",3,624,214,410,0.342949
"7,5,11",3,622,277,345,0.445338
