sequence,length,count,up_count,down_count,up_probability
"5,5,5,5,5,8,11,24",8,273,19,254,0.069597
"11,13,17,17,1,11,1,11",8,272,10,262,0.036765
"5,5,11,5,5,5,5,5",8,261,155,106,0.59387
"10,25,10,25,6,6,6,6",8,251,162,89,0.645418
"5,5,5,11,5,5,5,5",8,244,160,84,0.655738
"11,24,5,5,5,5,5,5",8,237,136,101,0.57384
"5,11,5,5,5,5,5,5",8,231,132,99,0.571429
"5,5,5,5,5,5,11,5",8,227,129,98,0.568282
"6,6,10,10,10,10,10,10",8,221,133,88,0.60181
"24,10,10,3,6,3,25,16",8,214,0,214,0.0
"11,11,11,11,11,5,5,5",8,209,136,73,0.650718
"11,5,5,5,5,5,5,11",8,207,93,114,0.449275
"11,7,11,7,10,10,10,18",8,189,21,168,0.111111
"5,20,24,12,10,10,6,6",8,184,20,164,0.108696
"10,10,10,10,10,10,10,6",8,180,56,124,0.311111
"6,6,6,6,10,6,6,6",8,179,79,100,0.441341
"11,11,11,11,11,11,5,5",8,176,113,63,0.642045
"24,11,13,5,5,5,5,5",8,176,0,176,0.0
"10,10,6,6,6,6,6,6",8,172,74,98,0.430233
"24,5,5,11,5,5,5,5",8,171,11,160,0.064327
"10,10,10,10,10,10,6,10",8,159,62,97,0.389937
"5,5,5,5,5,5,8,11",8,156,90,66,0.576923
"10,10,10,10,25,10,10,10",8,155,61,94,0.393548
"10,24,10,10,6,6,6,6",8,155,15,140,0.096774
"11,11,11,11,11,11,11,5",8,153,61,92,0.398693
"6,10,25,6,6,6,6,6",8,151,86,65,0.569536
"6,6,25,6,6,6,6,6",8,151,57,94,0.377483
"10,6,10,10,16,10,6,6",8,151,0,151,0.0
"10,25,10,25,10,25,10,25",8,150,88,62,0.586667
"10,25,10,25,10,25,6,6",8,150,95,55,0.633333
"11,5,5,5,5,5,5,8",8,146,105,41,0.719178
"5,5,11,11,5,5,5,5",8,146,91,55,0.623288
"11,11,5,5,5,5,5,11",8,146,84,62,0.575342
"10,10,10,10,10,25,10,25",8,145,62,83,0.427586
"24,3,24,10,10,3,10,10",8,144,0,144,0.0
"11,5,5,11,5,5,5,5",8,141,83,58,0.588652
"8,5,8,5,11,5,11,24",8,140,0,140,0.0
