sequence,length,count,up_count,down_count,up_probability
"11,12,11",3,1856,828,1023,0.446121
"11,11,4",3,1712,746,962,0.435748
"6,6,3",3,1652,934,713,0.565375
"10,10,15",3,1456,807,638,0.554258
"6,25,10",3,1438,629,803,0.437413
"25,6,24",3,1388,622,764,0.448127
"4,25,24",3,1361,588,773,0.432035
"24,17,24",3,1290,565,718,0.437984
"11,24,4",3,1214,508,706,0.418451
"24,11,25",3,1186,511,674,0.43086
"11,4,25",3,1178,501,672,0.425297
"10,6,25",3,1116,492,617,0.44086
"11,25,25",3,1102,490,612,0.444646
"25,12,24",3,1093,489,604,0.447392
"11,4,11",3,1073,462,607,0.430568
"10,24,3",3,1062,618,444,0.581921
"24,4,25",3,1060,474,585,0.44717
"25,24,12",3,989,443,543,0.447927
"3,24,24",3,977,556,421,0.569089
"3,25,24",3,923,512,406,0.554713
"11,5,24",3,914,404,509,0.442013
"12,11,12",3,909,395,514,0.434543
"24,24,17",3,877,375,498,0.427594
"25,17,24",3,871,380,488,0.43628
"25,24,17",3,867,345,520,0.397924
"25,24,6",3,864,383,479,0.443287
"10,2,25",3,850,366,482,0.430588
"5,20,24",3,832,220,612,0.264423
"10,5,5",3,813,315,496,0.387454
"24,3,25",3,787,440,344,0.559085
"25,15,25",3,756,436,318,0.57672
"24,3,3",3,753,416,334,0.552457
"3,6,6",3,752,437,315,0.581117
"24,24,6",3,746,424,322,0.568365
"11,5,25",3,727,324,403,0.445667
"3,6,3",3,716,396,316,0.553073
"25,25,15",3,697,459,238,0.658537
"24,10,15",3,670,296,372,0.441791
"17,24,17",3,653,268,383,0.410413
"24,15,25",3,647,392,255,0.605873
"17,11,24",3,632,279,349,0.441456
"5,4,25",3,624,269,355,0.43109
"25,25,12",3,618,247,370,0.399676
"11,5,4",3,618,272,343,0.440129
"5,25,25",3,613,267,345,0.435563
"6,3,3",3,604,360,244,0.596026
"24,25,17",3,603,271,332,0.44942
"4,25,20",3,597,254,343,0.425461
"25,6,3",3,592,330,262,0.557432
"6,24,3",3,581,321,250,0.552496
"12,25,12",3,568,252,316,0.443662
"4,25,12",3,565,242,323,0.428319
"23,11,11",3,555,309,246,0.556757
"25,15,10",3,538,315,223,0.585502
"3,6,25",3,527,291,234,0.552182
"24,24,15",3,522,309,213,0.591954
"11,25,4",3,519,232,287,0.447013
"5,5,17",3,507,210,295,0.414201
"6,6,16",3,507,285,221,0.56213
"3,25,15",3,502,295,207,0.587649
"3,24,15",3,493,284,209,0.576065
"25,3,6",3,490,212,277,0.432653
"3,24,6",3,488,295,193,0.604508
"11,17,17",3,485,208,272,0.428866
"25,13,24",3,485,280,205,0.57732
"11,24,12",3,482,188,294,0.390041
"5,17,11",3,479,291,188,0.607516
"17,7,11",3,474,194,278,0.409283
"25,12,25",3,471,189,282,0.401274
"24,25,3",3,470,268,202,0.570213
"24,25,12",3,463,182,281,0.393089
"4,5,11",3,460,196,264,0.426087
"10,18,10",3,450,198,252,0.44
"4,4,24",3,448,251,197,0.560268
"11,2,11",3,443,190,246,0.428894
"16,25,25",3,442,271,171,0.613122
"4,25,11",3,439,169,270,0.384966
"25,5,24",3,434,192,242,0.442396
"3,15,24",3,426,252,173,0.591549
"4,17,24",3,420,161,259,0.383333
"14,14,14",3,415,239,176,0.575904
"15,25,24",3,415,243,171,0.585542
"12,12,24",3,415,155,259,0.373494
"11,13,13",3,413,239,173,0.578692
"24,5,4",3,412,179,232,0.434466
"10,3,16",3,406,226,180,0.55665
"24,11,17",3,402,180,219,0.447761
"17,7,17",3,398,153,244,0.384422
"11,12,4",3,397,160,237,0.403023
"4,12,25",3,396,170,226,0.429293
"12,25,25",3,382,160,221,0.418848
"11,25,17",3,377,156,220,0.413793
"16,25,10",3,376,216,160,0.574468
"24,16,25",3,375,247,128,0.658667
"17,7,24",3,375,154,221,0.410667
"3,3,16",3,373,231,136,0.619303
"15,25,3",3,366,222,141,0.606557
"25,15,3",3,364,250,114,0.686813
"6,10,5",3,363,135,228,0.371901
"25,12,11",3,362,155,207,0.428177
"15,15,25",3,359,216,143,0.601671
"12,4,12",3,356,152,203,0.426966
"3,15,3",3,349,194,155,0.555874
"3,16,25",3,347,195,152,0.56196
"24,24,16",3,346,205,139,0.592486
"24,3,15",3,341,193,148,0.565982
"5,8,4",3,340,146,194,0.429412
"5,4,20",3,336,129,207,0.383929
"25,10,15",3,335,141,194,0.420896
"10,25,21",3,332,147,185,0.442771
"25,23,23",3,331,143,188,0.432024
"24,17,11",3,326,146,171,0.447853
"10,16,16",3,324,187,137,0.57716
"25,15,24",3,323,193,129,0.597523
"23,23,11",3,317,140,177,0.44164
"12,17,24",3,312,140,172,0.448718
"16,15,10",3,310,175,130,0.564516
"10,24,16",3,310,180,129,0.580645
"17,24,7",3,307,129,177,0.420195
"4,4,25",3,305,132,173,0.432787
"10,6,16",3,303,175,128,0.577558
"11,5,17",3,300,134,165,0.446667
"6,24,15",3,300,170,130,0.566667
"16,16,16",3,298,188,110,0.630872
"12,25,11",3,298,131,166,0.439597
"23,11,5",3,297,126,171,0.424242
"4,25,17",3,297,121,176,0.407407
"24,25,23",3,295,163,132,0.552542
"6,10,11",3,295,115,180,0.389831
"25,24,16",3,294,164,129,0.557823
"24,15,24",3,293,179,112,0.610922
"2,2,25",3,288,178,110,0.618056
"5,5,20",3,285,117,168,0.410526
"17,17,12",3,285,120,163,0.421053
"16,15,25",3,280,182,98,0.65
"17,17,11",3,279,124,155,0.444444
"4,5,25",3,278,122,156,0.438849
"11,24,2",3,277,109,165,0.393502
"10,25,13",3,277,166,111,0.599278
"25,17,7",3,275,113,162,0.410909
"24,12,12",3,275,109,166,0.396364
"25,25,5",3,271,159,112,0.586716
"10,25,15",3,270,92,175,0.340741
"12,4,25",3,270,121,149,0.448148
"10,1,24",3,269,121,145,0.449814
"14,14,25",3,269,150,119,0.557621
"5,25,12",3,266,114,152,0.428571
"17,11,7",3,265,151,114,0.569811
"5,11,20",3,264,87,177,0.329545
"4,24,11",3,264,147,116,0.556818
"10,1,10",3,261,108,140,0.413793
"24,14,14",3,260,169,91,0.65
"6,3,16",3,256,146,101,0.570312
"24,3,16",3,254,147,105,0.57874
"4,5,20",3,251,101,148,0.40239
"11,25,12",3,246,100,142,0.406504
"24,12,6",3,240,141,98,0.5875
"7,24,11",3,236,105,131,0.444915
"15,24,24",3,234,139,94,0.594017
"24,24,14",3,232,139,93,0.599138
"12,4,24",3,232,102,130,0.439655
"3,2,15",3,231,76,155,0.329004
"7,17,17",3,229,103,126,0.449782
