sequence,length,count,up_count,down_count,up_probability
"6,16,16",3,534,206,328,0.385768
"25,23,24",3,534,233,301,0.43633
"25,16,10",3,533,208,324,0.390244
"17,12,17",3,531,214,316,0.403013
"24,16,16",3,528,364,162,0.689394
"3,24,16",3,527,333,194,0.631879
"5,24,25",3,524,211,312,0.402672
"2,25,6",3,522,291,231,0.557471
"5,5,20",3,521,227,294,0.435701
"17,24,7",3,520,199,321,0.382692
"24,10,2",3,519,218,301,0.420039
"24,14,14",3,518,233,276,0.449807
"10,21,25",3,515,212,301,0.41165
"24,23,11",3,511,216,294,0.422701
"25,11,17",3,507,205,302,0.404339
"5,17,24",3,507,200,306,0.394477
"4,17,24",3,505,192,313,0.380198
"15,24,24",3,500,218,282,0.436
"10,25,1",3,499,280,219,0.561122
"24,13,24",3,498,208,289,0.417671
"24,25,4",3,496,204,292,0.41129
"4,25,17",3,495,206,289,0.416162
"2,11,24",3,494,219,274,0.44332
"6,10,5",3,493,204,289,0.413793
"10,13,6",3,492,179,313,0.363821
"5,4,11",3,489,197,291,0.402863
"6,10,15",3,489,215,274,0.439673
"14,10,10",3,488,300,187,0.614754
"11,12,6",3,486,216,264,0.444444
"24,16,10",3,481,213,268,0.442827
"11,12,4",3,477,194,283,0.406709
"5,11,20",3,476,169,307,0.355042
"11,2,5",3,476,177,299,0.371849
"10,11,5",3,475,210,264,0.442105
"6,11,11",3,474,192,282,0.405063
"23,11,5",3,473,189,282,0.399577
"23,7,11",3,472,138,334,0.292373
"15,3,25",3,470,195,275,0.414894
"15,15,3",3,469,262,207,0.558635
"5,24,23",3,464,207,256,0.446121
"16,18,10",3,461,262,199,0.56833
"11,13,11",3,461,197,264,0.427332
"7,17,17",3,459,194,264,0.422658
"11,5,23",3,456,204,252,0.447368
"12,17,24",3,455,203,252,0.446154
"25,10,2",3,453,202,251,0.445916
"8,8,5",3,452,163,289,0.360619
"11,25,20",3,451,178,273,0.394678
"11,2,25",3,451,168,282,0.372506
"21,6,10",3,451,192,259,0.425721
"24,16,15",3,450,289,161,0.642222
"3,3,2",3,447,247,200,0.552573
"5,25,12",3,446,176,268,0.394619
"7,17,24",3,446,147,299,0.329596
"15,24,3",3,444,153,291,0.344595
"4,20,24",3,444,154,290,0.346847
"20,24,24",3,444,62,382,0.13964
"25,12,6",3,441,192,249,0.435374
"11,17,5",3,435,193,242,0.443678
"25,25,13",3,435,190,244,0.436782
"13,13,6",3,433,255,178,0.588915
"15,16,15",3,433,187,246,0.431871
"10,2,5",3,432,155,277,0.358796
"12,25,11",3,429,165,263,0.384615
"10,24,15",3,425,177,248,0.416471
"12,17,12",3,424,164,260,0.386792
"6,16,18",3,422,159,263,0.376777
"21,25,6",3,422,174,246,0.412322
"11,25,12",3,421,184,237,0.437055
"5,8,4",3,420,180,240,0.428571
"12,12,24",3,420,149,271,0.354762
"6,6,1",3,418,186,232,0.444976
"15,10,3",3,416,239,177,0.574519
"12,24,4",3,416,169,247,0.40625
"3,16,3",3,415,239,176,0.575904
"24,15,3",3,414,248,166,0.599034
"3,16,10",3,412,236,176,0.572816
"6,6,13",3,411,233,178,0.56691
"25,25,4",3,410,181,227,0.441463
"17,7,5",3,410,94,316,0.229268
"17,12,11",3,408,166,242,0.406863
"2,2,10",3,403,222,181,0.550868
"4,5,20",3,402,151,251,0.375622
"24,5,17",3,400,170,229,0.425
"11,17,25",3,400,156,244,0.39
"8,5,8",3,398,174,224,0.437186
"25,11,4",3,397,166,231,0.418136
"4,5,25",3,394,152,238,0.385787
"4,12,25",3,394,161,233,0.408629
"7,17,7",3,392,129,263,0.329082
"3,16,18",3,391,232,159,0.59335
"5,17,20",3,390,136,254,0.348718
"17,7,12",3,390,133,256,0.341026
"2,15,10",3,389,224,165,0.575835
"24,4,17",3,388,157,231,0.404639
"25,7,24",3,386,162,224,0.419689
"11,4,4",3,386,149,237,0.38601
"16,25,16",3,380,249,128,0.655263
"25,24,23",3,379,155,222,0.408971
"25,11,23",3,378,158,220,0.417989
"4,4,24",3,375,163,212,0.434667
"23,5,24",3,373,159,212,0.426273
"2,25,11",3,373,157,216,0.420912
"8,4,5",3,370,156,214,0.421622
"17,12,25",3,370,125,245,0.337838
"25,6,21",3,370,163,206,0.440541
"16,25,15",3,367,223,141,0.607629
"4,25,4",3,363,149,214,0.410468
"11,6,6",3,361,155,203,0.429363
"12,24,6",3,360,153,207,0.425
"11,11,10",3,356,220,134,0.617978
