sequence,length,count,up_count,down_count,up_probability
"11,24,11,24,23",5,279,54,225,0.193548
"11,11,5,8,11",5,276,117,159,0.423913
"25,24,25,25,24",5,275,112,161,0.407273
"11,11,11,11,23",5,275,120,155,0.436364
"10,10,24,10,6",5,274,120,154,0.437956
"6,24,10,25,24",5,273,121,152,0.443223
"6,6,6,10,3",5,273,116,157,0.424908
"11,11,25,24,11",5,272,121,151,0.444853
"24,23,5,5,5",5,272,72,200,0.264706
"11,11,12,11,12",5,271,106,165,0.391144
"24,6,6,10,10",5,271,109,162,0.402214
"10,6,6,6,3",5,270,121,149,0.448148
"6,25,6,10,6",5,270,118,152,0.437037
"10,25,24,6,10",5,270,119,151,0.440741
"25,10,6,10,10",5,269,114,155,0.423792
"10,6,25,6,10",5,269,111,158,0.412639
"6,6,6,6,16",5,268,114,154,0.425373
"3,24,10,10,10",5,268,106,162,0.395522
"3,10,10,25,10",5,268,117,151,0.436567
"24,10,10,6,6",5,267,112,155,0.419476
"25,25,25,10,10",5,267,92,175,0.344569
"10,10,24,25,10",5,267,111,156,0.41573
"6,21,6,6,6",5,267,119,148,0.445693
"25,10,10,10,3",5,265,96,169,0.362264
"24,24,25,24,5",5,263,24,239,0.091255
"10,15,5,5,5",5,263,108,155,0.410646
"10,6,24,10,10",5,262,111,151,0.423664
"25,6,25,6,10",5,261,86,175,0.329502
"13,13,13,13,13",5,261,95,166,0.363985
"6,10,25,24,25",5,260,56,204,0.215385
"25,6,25,25,6",5,259,114,145,0.440154
"10,6,6,24,10",5,259,96,163,0.370656
"25,11,24,24,11",5,258,104,154,0.403101
"25,25,10,24,10",5,258,115,143,0.445736
"11,12,11,11,11",5,258,103,155,0.399225
"11,11,11,7,11",5,257,108,149,0.420233
"10,25,25,10,6",5,256,115,141,0.449219
"10,10,25,24,3",5,255,152,103,0.596078
"10,5,5,5,11",5,253,99,154,0.391304
"24,10,10,24,24",5,253,97,156,0.383399
"10,10,3,24,10",5,253,87,166,0.343874
"6,3,6,6,6",5,252,106,146,0.420635
"10,2,10,10,25",5,251,66,185,0.262948
"24,5,5,11,24",5,250,107,143,0.428
"11,24,11,24,17",5,250,106,144,0.424
"25,6,25,10,25",5,250,99,151,0.396
"10,3,24,10,10",5,248,97,151,0.391129
