sequence,length,count,up_count,down_count,up_probability
"24,12,17",3,363,159,203,0.438017
"24,11,13",3,360,154,206,0.427778
"7,7,11",3,354,127,227,0.358757
"13,10,10",3,353,205,148,0.580737
"24,5,4",3,352,158,194,0.448864
"5,11,2",3,351,154,197,0.438746
"7,25,24",3,350,124,225,0.354286
"7,7,17",3,348,124,223,0.356322
"10,25,2",3,347,138,209,0.397695
"2,2,15",3,346,191,154,0.552023
"15,16,15",3,345,209,136,0.605797
"11,4,24",3,345,154,191,0.446377
"23,7,11",3,344,149,194,0.43314
"16,15,15",3,343,219,124,0.638484
"9,25,10",3,342,153,189,0.447368
"5,7,11",3,342,145,197,0.423977
"7,24,25",3,340,119,221,0.35
"17,12,6",3,340,145,195,0.426471
"6,24,15",3,339,196,143,0.578171
"17,24,5",3,339,131,208,0.386431
"6,6,13",3,339,205,134,0.60472
"24,8,11",3,338,145,193,0.428994
"24,16,18",3,337,240,97,0.712166
"24,25,13",3,337,150,187,0.445104
"25,11,23",3,336,125,211,0.372024
"6,21,10",3,336,116,220,0.345238
"10,16,2",3,336,203,133,0.604167
"10,10,9",3,335,114,215,0.340299
"13,13,6",3,335,200,135,0.597015
"25,7,11",3,335,147,188,0.438806
"17,13,13",3,334,138,196,0.413174
"17,7,25",3,334,141,193,0.422156
"23,5,24",3,333,143,190,0.429429
"18,15,10",3,332,229,103,0.689759
"16,3,16",3,332,183,149,0.551205
"4,17,12",3,331,123,208,0.371601
"11,4,4",3,330,132,198,0.4
"9,10,25",3,329,130,199,0.395137
"12,25,17",3,329,148,181,0.449848
"2,2,5",3,328,130,198,0.396341
"6,5,11",3,327,116,211,0.35474
"11,5,2",3,327,116,211,0.35474
"13,24,6",3,325,185,140,0.569231
"4,11,12",3,325,123,202,0.378462
"4,12,24",3,322,143,179,0.444099
"16,24,10",3,321,127,194,0.395639
"6,16,15",3,321,180,141,0.560748
"16,18,25",3,320,190,130,0.59375
"10,5,17",3,318,142,176,0.446541
"16,16,3",3,318,112,204,0.352201
"16,24,25",3,317,221,95,0.697161
"15,3,25",3,317,102,215,0.321767
"5,24,17",3,310,112,198,0.36129
"3,16,14",3,308,172,136,0.558442
"11,11,20",3,305,108,197,0.354098
"5,4,24",3,305,122,183,0.4
"18,11,11",3,305,173,132,0.567213
"12,24,4",3,305,133,172,0.436066
"24,11,2",3,303,112,191,0.369637
"25,12,12",3,302,126,176,0.417219
"17,24,4",3,301,133,168,0.44186
"25,4,17",3,300,118,182,0.393333
"15,10,24",3,298,110,187,0.369128
"5,20,12",3,295,53,242,0.179661
"6,10,21",3,295,128,167,0.433898
"6,18,10",3,295,127,168,0.430508
"25,23,23",3,294,116,178,0.394558
"10,16,24",3,293,181,112,0.617747
"25,5,25",3,292,123,169,0.421233
"24,16,24",3,292,191,99,0.65411
"6,10,1",3,291,127,164,0.436426
"1,1,1",3,287,173,114,0.602787
"23,5,23",3,286,126,160,0.440559
"5,11,13",3,286,111,175,0.388112
"11,8,8",3,285,110,175,0.385965
"15,10,5",3,283,117,160,0.413428
"10,13,6",3,283,160,123,0.565371
"7,11,7",3,282,103,179,0.365248
"10,6,21",3,282,83,199,0.294326
"25,11,7",3,282,116,166,0.411348
"12,17,17",3,282,108,174,0.382979
"15,25,5",3,279,106,173,0.379928
"14,2,2",3,279,115,137,0.412186
"25,15,15",3,279,156,118,0.55914
"3,15,16",3,278,122,156,0.438849
"11,4,20",3,278,116,162,0.417266
"8,4,5",3,277,119,157,0.429603
"25,16,15",3,277,162,115,0.584838
"2,11,25",3,276,62,214,0.224638
"25,25,21",3,275,85,190,0.309091
"1,24,5",3,274,152,122,0.554745
"10,1,1",3,274,123,151,0.448905
"11,5,20",3,273,83,190,0.304029
"17,25,7",3,272,97,174,0.356618
"11,7,7",3,272,100,172,0.367647
"6,15,6",3,270,49,221,0.181481
"18,16,18",3,270,244,26,0.903704
"6,1,10",3,270,111,159,0.411111
"4,17,7",3,269,95,174,0.35316
"8,25,5",3,268,106,162,0.395522
"12,4,25",3,266,113,153,0.424812
"11,11,10",3,264,111,153,0.420455
"2,25,17",3,263,116,147,0.441065
"3,16,2",3,263,116,147,0.441065
"7,11,1",3,263,75,188,0.285171
"6,6,11",3,262,112,150,0.427481
"5,2,25",3,261,91,170,0.348659
"6,25,16",3,260,70,190,0.269231
"23,23,7",3,259,115,144,0.444015
"4,17,20",3,259,85,174,0.328185
"2,25,15",3,258,160,94,0.620155
"7,7,24",3,258,70,188,0.271318
"10,16,3",3,257,161,96,0.626459
"24,25,1",3,256,146,110,0.570312
"4,5,20",3,256,82,174,0.320312
"25,15,5",3,256,162,94,0.632812
"16,18,2",3,255,158,97,0.619608
"10,14,14",3,255,109,146,0.427451
"9,25,25",3,255,109,146,0.427451
"4,20,24",3,255,99,156,0.388235
"25,20,17",3,254,90,164,0.354331
"10,9,10",3,254,83,171,0.326772
"10,3,13",3,254,170,84,0.669291
"9,10,10",3,254,92,162,0.362205
"24,24,7",3,254,108,146,0.425197
"18,16,10",3,253,151,102,0.596838
"17,24,10",3,253,106,147,0.418972
"16,6,6",3,253,144,109,0.56917
"24,25,20",3,253,99,154,0.391304
"20,24,11",3,251,36,215,0.143426
"7,12,24",3,251,104,147,0.414343
"24,15,15",3,251,143,108,0.569721
"4,5,25",3,251,91,160,0.36255
"5,17,5",3,250,91,159,0.364
"11,25,7",3,250,78,172,0.312
"18,16,16",3,248,165,83,0.665323
"18,18,10",3,248,180,68,0.725806
"4,4,24",3,246,108,138,0.439024
"14,14,15",3,245,106,139,0.432653
"12,5,11",3,245,92,153,0.37551
"12,4,24",3,245,95,150,0.387755
"10,18,6",3,244,139,105,0.569672
"7,17,12",3,244,86,158,0.352459
"25,5,23",3,244,100,144,0.409836
"11,23,7",3,243,82,161,0.337449
"4,12,12",3,243,88,155,0.36214
