sequence,length,count,up_count,down_count,up_probability
"10,18,18",3,183,124,59,0.677596
"5,17,13",3,182,28,154,0.153846
"25,14,15",3,182,43,139,0.236264
"25,23,11",3,181,71,110,0.392265
"1,16,16",3,180,125,55,0.694444
"25,10,1",3,180,70,110,0.388889
"25,11,20",3,180,71,109,0.394444
"1,12,24",3,180,79,101,0.438889
"15,2,2",3,180,61,119,0.338889
"11,1,23",3,179,40,139,0.223464
"17,7,10",3,179,63,116,0.351955
"15,6,3",3,179,107,72,0.597765
"10,1,16",3,178,80,98,0.449438
"12,11,17",3,178,67,111,0.376404
"5,17,12",3,178,63,115,0.353933
"24,4,12",3,178,75,103,0.421348
"4,25,4",3,178,60,118,0.337079
"7,7,7",3,177,52,123,0.293785
"3,13,13",3,177,123,54,0.694915
"15,2,10",3,177,112,65,0.632768
"16,10,11",3,176,101,75,0.573864
"3,10,5",3,176,97,79,0.551136
"12,10,25",3,176,75,101,0.426136
"25,9,10",3,175,74,101,0.422857
"12,17,11",3,175,74,101,0.422857
"3,18,15",3,173,96,77,0.554913
"12,17,7",3,172,67,105,0.389535
"5,23,7",3,172,73,99,0.424419
"25,21,10",3,172,60,112,0.348837
"17,4,17",3,172,77,95,0.447674
"25,2,15",3,172,95,77,0.552326
"6,10,14",3,171,68,103,0.397661
"23,7,24",3,170,69,101,0.405882
"11,7,25",3,170,61,109,0.358824
"25,25,23",3,169,58,111,0.343195
"18,25,25",3,169,120,48,0.710059
"10,6,18",3,169,75,94,0.443787
"7,23,24",3,169,65,104,0.384615
"6,9,25",3,168,72,96,0.428571
"25,11,1",3,168,58,110,0.345238
"17,7,23",3,168,70,98,0.416667
"25,17,13",3,168,93,75,0.553571
"12,25,4",3,168,72,96,0.428571
"12,7,11",3,167,71,96,0.42515
"5,24,10",3,167,62,105,0.371257
"5,20,11",3,166,58,108,0.349398
"13,5,5",3,166,95,70,0.572289
"25,6,13",3,166,92,74,0.554217
"3,16,6",3,166,100,66,0.60241
"25,20,12",3,166,68,98,0.409639
"18,18,25",3,166,102,59,0.614458
"4,11,5",3,165,56,109,0.339394
"22,25,10",3,165,92,73,0.557576
"1,6,24",3,164,97,66,0.591463
"13,24,1",3,164,102,62,0.621951
"24,17,23",3,163,52,111,0.319018
"11,17,1",3,163,59,104,0.361963
"23,11,25",3,163,16,147,0.09816
"2,3,10",3,163,72,91,0.441718
"7,24,5",3,162,61,101,0.376543
"8,25,25",3,162,71,91,0.438272
"24,16,2",3,162,96,65,0.592593
"4,24,4",3,162,65,97,0.401235
"24,6,2",3,162,90,72,0.555556
"16,15,18",3,161,100,61,0.621118
"17,5,7",3,161,47,114,0.291925
"25,2,10",3,161,91,70,0.565217
"4,11,4",3,161,70,91,0.434783
"17,1,1",3,161,67,94,0.416149
"25,10,13",3,160,99,61,0.61875
"25,24,14",3,160,59,94,0.36875
"15,5,17",3,159,88,71,0.553459
"6,16,24",3,159,89,70,0.559748
"4,11,17",3,159,63,95,0.396226
"11,11,14",3,159,64,95,0.402516
"24,7,25",3,158,64,94,0.405063
"3,16,24",3,158,99,59,0.626582
"4,5,4",3,157,65,85,0.414013
"24,1,1",3,157,88,69,0.56051
"25,1,10",3,157,65,92,0.414013
"11,5,7",3,157,55,102,0.350318
"4,4,17",3,157,57,100,0.363057
"25,14,25",3,157,94,63,0.598726
"5,7,5",3,156,46,110,0.294872
"23,24,8",3,156,64,92,0.410256
"6,9,6",3,156,58,98,0.371795
"17,4,24",3,156,70,86,0.448718
"25,7,7",3,155,50,105,0.322581
"17,17,1",3,155,67,88,0.432258
"6,3,18",3,155,91,64,0.587097
"11,1,6",3,155,62,93,0.4
"6,25,21",3,155,59,96,0.380645
"10,24,2",3,155,68,87,0.43871
"10,25,17",3,154,66,88,0.428571
"25,12,7",3,154,53,101,0.344156
"1,24,3",3,154,86,68,0.558442
"24,3,2",3,153,91,62,0.594771
"18,3,15",3,153,87,66,0.568627
"14,18,18",3,152,37,113,0.243421
"15,5,24",3,151,85,66,0.562914
"24,17,5",3,151,46,104,0.304636
"10,18,2",3,151,35,116,0.231788
"2,10,3",3,151,92,59,0.609272
"25,12,10",3,151,57,94,0.377483
"13,7,24",3,149,59,90,0.395973
"10,15,15",3,149,93,56,0.624161
"1,1,5",3,148,89,59,0.601351
"18,6,6",3,148,86,62,0.581081
"24,7,12",3,148,60,88,0.405405
"9,22,25",3,148,103,45,0.695946
"2,5,17",3,148,61,87,0.412162
"6,13,6",3,147,91,56,0.619048
"7,24,7",3,146,57,89,0.390411
"7,5,24",3,146,61,85,0.417808
"5,20,7",3,145,13,132,0.089655
"2,16,10",3,145,58,87,0.4
"17,5,17",3,145,48,97,0.331034
"21,6,24",3,145,61,84,0.42069
"25,11,13",3,145,60,85,0.413793
"11,12,5",3,145,61,84,0.42069
"17,25,11",3,144,55,87,0.381944
"5,25,23",3,143,60,83,0.41958
"7,7,12",3,142,48,94,0.338028
"11,5,1",3,142,54,88,0.380282
"25,18,25",3,142,82,60,0.577465
"15,15,24",3,142,79,63,0.556338
"11,23,25",3,141,57,84,0.404255
"18,16,15",3,140,60,75,0.428571
"12,11,5",3,140,53,87,0.378571
"3,18,3",3,140,59,81,0.421429
"6,10,13",3,140,88,52,0.628571
"5,1,24",3,140,62,78,0.442857
"8,25,20",3,140,60,80,0.428571
"13,24,13",3,140,58,82,0.414286
"6,1,1",3,140,82,58,0.585714
"10,11,23",3,140,49,91,0.35
"15,11,24",3,139,83,56,0.597122
"7,11,23",3,139,53,86,0.381295
"18,2,10",3,138,84,54,0.608696
"16,10,14",3,138,52,86,0.376812
"25,20,11",3,138,51,87,0.369565
"12,7,24",3,137,55,82,0.40146
"12,4,17",3,137,61,76,0.445255
"15,5,25",3,137,90,47,0.656934
"11,20,24",3,136,58,78,0.426471
"6,25,5",3,136,60,76,0.441176
"25,1,6",3,136,82,54,0.602941
"23,7,5",3,135,47,88,0.348148
"17,12,10",3,135,50,85,0.37037
"25,25,1",3,135,54,81,0.4
"25,16,2",3,135,79,56,0.585185
"3,6,5",3,135,84,51,0.622222
"16,14,16",3,134,90,42,0.671642
"7,25,17",3,134,56,78,0.41791
"16,3,2",3,134,89,45,0.664179
"16,6,18",3,132,93,39,0.704545
"11,1,8",3,132,59,71,0.44697
"16,15,14",3,132,55,77,0.416667
"18,10,15",3,131,85,46,0.648855
"10,18,25",3,131,74,57,0.564885
"11,17,6",3,131,37,94,0.282443
"2,2,3",3,131,80,51,0.610687
"24,15,5",3,130,88,42,0.676923
"10,15,2",3,130,72,58,0.553846
"24,2,10",3,130,51,79,0.392308
"25,11,2",3,130,48,82,0.369231
"15,6,25",3,130,93,37,0.715385
"3,15,2",3,130,72,58,0.553846
"3,5,5",3,130,57,73,0.438462
